year,apt_name,total_arrival_delay_minutes,disruption_delay,capacity_delay,weather_delay,event_delay,staffing_delay,total_taxiout_additional_minutes,avg_arrival_delay_per_flight_imputed,total_arrival_delay_minutes_imputed
2021,Leipzig-Halle,1896,0,1294,602,0,0,11312.05167,0.653567735,1896
2021,Leipzig-Halle,1484,0,1036,448,0,0,10299.31333,0.480725624,1484
2021,Leipzig-Halle,2060,0,581,1479,0,0,11773.09667,0.636195182,2060
2021,Leipzig-Halle,704,0,614,90,0,0,12153.72667,0.209711052,704
2021,Leipzig-Halle,230,0,0,230,0,0,10887.855,0.064861816,230
2021,Leipzig-Halle,199,0,0,199,0,0,11225.61667,0.059243823,199
2021,Leipzig-Halle,732,0,0,732,0,0,9494.373333,0.218768679,732
2022,Leipzig-Halle,844,0,0,844,0,0,9807.265,0.296244296,844
2022,Leipzig-Halle,247,0,0,247,0,0,6670.801667,0.07644692,247
2022,Leipzig-Halle,757,0,0,757,0,0,7927.913333,0.245779221,757
2022,Leipzig-Halle,2126,0,90,2036,0,0,10536.03333,0.620367669,2126
2022,Leipzig-Halle,264,0,0,264,0,0,11791.675,0.07831504,264
2022,Leipzig-Halle,339,0,0,339,0,0,12792.06667,0.0981755,339
2022,Leipzig-Halle,746,0,77,669,0,0,12329.41,0.216420075,746
2022,Leipzig-Halle,1096,0,0,1096,0,0,11501.275,0.312161777,1096
2022,Leipzig-Halle,69,0,0,69,0,0,10502.95667,0.020915429,69
2022,Leipzig-Halle,1281,0,0,1281,0,0,7311.04,0.420689655,1281
2023,Leipzig-Halle,1612,0,0,1612,0,0,8415.881667,0.544594595,1612
2023,Leipzig-Halle,616,0,0,616,0,0,7543.943333,0.221582734,616
2023,Leipzig-Halle,2474,0,0,2344,130,0,10153.71833,0.757733538,2474
2023,Leipzig-Halle,1020,667,0,353,0,0,10053.31333,0.33442623,1020
2023,Leipzig-Halle,1188,0,0,883,305,0,10822.99333,0.348489293,1188
2023,Leipzig-Halle,0,0,0,0,0,0,10964.54333,0,0
2023,Leipzig-Halle,1781,0,0,1781,0,0,12423.97833,0.514145497,1781
2023,Leipzig-Halle,4349,0,0,4288,61,0,12836.50167,1.26167682,4349
2023,Leipzig-Halle,945,0,0,822,123,0,11654.62833,0.278596698,945
2023,Leipzig-Halle,743,0,0,743,0,0,12304.365,0.205305333,743
2023,Leipzig-Halle,4507,306,0,4201,0,0,9432.98,1.440396293,4507
2023,Leipzig-Halle,1320,0,0,1320,0,0,7778.215,0.4685836,1320
2024,Leipzig-Halle,1295,184,0,1111,0,0,6232.926667,0.468185105,1295
2024,Leipzig-Halle,389,323,0,66,0,0,8333.491667,0.146626461,389
2024,Leipzig-Halle,115,115,0,0,0,0,8446.86,0.039275956,115
2024,Leipzig-Halle,1725,1257,0,468,0,0,9322.951667,0.5859375,1725
2024,Leipzig-Halle,1570,86,0,1484,0,0,9378.296667,0.4866708,1570
